rating,content,userName,at,reviewCreatedVersion
3,"Само приложение и сервис норм, но очень часто удаляются песни из лайкнутых и исчезают, никак не помечается, что трек был удален и названий этих треков больше не найти. Единственный способ - создать плейлист куда дублировать лайкнутые песни и тогда в нём будут отображаться серым цветом удалённые песни. Но старые песни уже не вернуть... Попробовал даже написать в поддержку яндекс музыки с просьбой прислать список всех удаленных лайкнутых треков, они супер сухо ответили, что не получится, мда.",Нарек Манукян,2026-06-20 01:39:12,2026.05.1 #146.1gpr
1,"За последние пол года, испортили напрочь предложение, с добавлением рекламы концертов, которые всплывают , из-из интернета ещё и тормозят его работу, поиск по определению трека почти не работает, половина песен под записано цензурой",Kirill Rumiantsev,2026-06-20 01:37:29,2026.06.2 #151.1gpr
2,Почему приложение работает само по себе?! Отключение функции обнаружения и запуска по устройствам Bluetooth не помогает. Отключение через настройки тоже! Это случайно не шпионское ПО? Отечественные разрабы на это и способны.,Саша Самоделкин,2026-06-20 01:16:44,2026.06.1 #150gpr
2,"Разработчики, зачем вы с каждым обновлением всё дальше убирает ""плейлист дня""? вам люди платят деньги а вы делаете всё менее удобным пользование. ещё из андроид авто убрали ""плейлист дня""!!! такими темпами люди начнут переходить на другие сервисы. Ужасный новый интерфейс!!! не обновляйтесь!!! разработчики, вы сами этим пробовали пользоваться?",Oleg Fomin,2026-06-20 01:03:23,2026.06.2 #151.1gpr
5,⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,Maxim Novikov,2026-06-20 00:49:23,2026.06.2 #151.1gpr
1,"ок, вы добавили эту дебильную карусель с жанрами, но почему иконка с нормальной настройкой волны там появляется по стечению каких-то астрологических обстоятельств: то она сразу есть в карусели, то только после 3-й, а то и 5-й промотки карусели. Какой гений дизайна это придумал?",Alexey Scobeldin,2026-06-20 00:31:15,2026.06.2 #151.1gpr
3,"Раньше было шикарно, что можно было настроить свою волну сразу, а сейчас приходится крутить и искать, чтобы настроить. Сделайте хотя бы это отдельно.",Никита Студнев,2026-06-20 00:24:39,2026.06.2 #151.1gpr
5,поразительная скорость реагирования на мои предпочтения и желания! приложение само удачно подбирает исполнителей и произведения точно соответствующих моему вкусу! Спасибо!,Константин Викторович Парахневич,2026-06-20 00:20:38,2026.06.2 #151.1gpr
2,"задрали постоянными вылетами и самопроизвольным сворачиванием приложения... интернет стабильный, про него лечить не надо..",Е Кo,2026-06-20 00:19:02,
1,"Сами без тебя подключают платные услуги и узнаешь о них когда ночью приходит сообщение от банка о списании , достучаться невозможно, Яндекс отписался это не мы .сам через личный кабинет будешь отписаться но денег не вернуть.",Александр,2026-06-20 00:01:33,
1,"было самое удобное приложение для музыки, но после недавнего обновления пользоваться просто невозможно, это просто не удобно, верните старый дизайн",Zyphar Qulenith,2026-06-19 23:55:47,2025.03.4 #90gpr
5,все хорошо,Сергей,2026-06-19 23:45:44,2026.06.2 #151.1gpr
